ID,Long FOV Dixon,TR,TE,Lesser Trochanter,Iliac Crest,L1,Short FOV Dixon,TR,TE,Lesser Trochanter Short,Iliac Crest Short,L1 Short,T2 Mapping,TR,Tes
S0001,yes,,,108,152,178,no,,,,,,,,
S0002,yes,,,170,215,236,no,,,,,,,,
S0003,yes,,,160,211,235,no,,,,,,,,
S0004,yes,,,160,210,228,no,,,,,,,,
S0005,yes,,,168,206,230,no,,,,,,,,
S0006,yes,,,173,211,237,no,,,,,,,,
S0007,yes,,,161,206,230,no,,,,,,,,
S0009,yes,,,161,207,232,no,,,,,,,,
S0010,yes,,,111,152,174,no,,,,,,yes,,
S0013,yes,,,165,206,228,no,,,,,,yes,,
S0014,yes,,,111,154,174,no,,,,,,yes,,
S0015,yes,,,155,202,225,no,,,,,,yes,,
S0017,yes,,,179,217,239,,,,,,,,,
S0018,yes,,,170,213,239,no,,,,,,yes,,
S0019,yes,,,168,212,237,no,,,,,,yes,,
S0020,yes,,,105,148,174,no,,,,,,yes,,
S0021,yes,,,95,131,155,yes,,,0,67,126,yes,,
S0022,yes,,,160,210,235,yes,,,0,89,,yes,,
S0024,yes,,,109,148,170,yes,,,28,111,,yes,,
S0025,yes,,,109,149,172,yes,,,26,110,,yes,,
S0026,yes,,,107,146,171,yes,,,0,75,125,yes,,
S0027,yes,,,100,143,165,yes,,,24,112,,yes,,
S0028,yes,,,139,182,212,yes,,,0,67,112,yes,,
S0029,yes,,,160,206,229,yes,,,0,65,120,yes,,
S0030,yes,,,104,150,172,yes,,,30,121,,yes,,
S0031,yes,,,103,149,171,yes,,,35,120,,yes,,
S0032,yes,,,109,148,173,yes,,,,51,94,yes,,
S0035,yes,,,163,211,237,yes,,,0,85,122,yes,,
S0036,yes,,,163,208,234,yes,,,0,78,,yes,,
S0037,yes,,,105,150,171,yes,,,0,86,127,yes,,
S0038,yes,,,108,146,168,yes,,,4,75,117,yes,,
S0039,yes,,,170,207,235,yes,,,0,76,270,yes,,
S0040,yes,,,171,210,233,yes,,,0,72,123,yes,,
S0041,yes,,,105,148,173,yes,,,0,80,117,yes,,
S0042,yes,,,112,149,168,yes,,,5,74,117,yes,,
S0043,yes,,,107,151,176,yes,,,0,80,115,yes,,
S0044,yes,,,113,153,174,yes,,,4,80,115,yes,,
S0045,yes,,,106,147,170,yes,,,0,80,123,yes,,
S0046,yes,,,163,210,233,yes,,,0,80,116,yes,,
S0047,yes,,,110,149,173,yes,,,0,77,120,yes,,
S0048,yes,,,171,210,234,yes,,,0,79,117,yes,,
S0049,yes,,,163,205,234,yes,,,0,79,120,yes,,
S0050,yes,,,160,199,225,yes,,,0,77,117,yes,,
S0051,yes,,,161,204,225,yes,,,0,77,,yes,,
S0053,yes,,,163,205,230,yes,,,0,78,,yes,,
S0054,yes,,,160,209,230,yes,,,0,79,120,yes,,
S0055,yes,,,167,207,233,yes,,,1,73,120,yes,,
S0056,yes,,,174,215,243,yes,,,0,78,120,yes,,
S0057,yes,,,150,198,230,yes,,,0,78,125,yes,,
S0058,yes,,,159,200,224,yes,,,0,79,121,yes,,
S0060,yes,,,160,202,231,yes,,,0,81,143,yes,,
S0061,yes,,,159,203,230,yes,,,6,84,126,yes,,
S0062,yes,,,153,200,233,yes,,,6,82,120,yes,,
S0064,yes,,,96,140,167,yes,,,0,79,124,yes,,
S0065,yes,,,157,198,228,yes,,,0,75,119,yes,,
S0066,yes,,,101,142,168,yes,,,13,78,119,yes,,
S0069,yes,,,152,198,228,yes,,,0,78,120,yes,,
S0070,yes,,,148,197,226,yes,,,0,77,121,yes,,
S0071,yes,,,150,197,226,yes,,,0,74,113,yes,,
S0072,yes,,,93,139,168,yes,,,0,77,118,yes,,
S0073,yes,,,142,199,220,yes,,,0,82,119,yes,,
S0074,yes,,,155,200,224,yes,,,2,80,122,yes,,
