1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.027296	0.000000	2.657555	0.023297	74.0
1	-0.033682	0.000000	2.657555	0.016586	0.6
2	-0.032576	0.582569	2.585821	0.024420	0.5
3	-0.032894	0.000000	2.657555	0.025973	0.5
4	-0.035446	0.999772	2.536784	0.028077	0.5
5	-0.029777	0.025680	2.654310	0.018440	0.5
6	-0.039075	0.000000	2.657555	0.038457	0.5
7	-0.028973	1.000000	2.536757	0.006673	0.5
8	-0.022813	1.999120	2.426556	0.025540	0.5
9	-0.027756	1.034765	2.532755	0.010963	0.5
10	-0.023664	0.060681	2.649898	0.026555	0.5
11	-0.027576	1.060674	2.529780	0.033076	0.5
12	-0.025974	2.060674	2.420079	0.017174	0.6
13	-0.023298	1.086582	2.526813	0.015930	0.8
14	-0.019550	1.958426	2.430857	0.014761	0.5
15	-0.024465	1.145061	2.520140	0.029527	0.6
16	-0.030750	0.180825	2.634867	0.015944	0.6
17	-0.022140	0.744247	2.566594	0.008449	0.5
18	-0.027649	0.005627	2.656843	0.029555	0.6
19	-0.036570	0.248427	2.626484	0.027061	0.5
20	-0.024377	0.000000	2.657555	0.049178	0.6
21	-0.018264	0.000000	2.657555	0.013779	0.5
22	-0.020986	1.000000	2.536757	0.019625	0.6
23	-0.032422	0.036786	2.652908	0.037125	0.5
24	-0.030040	1.035736	2.532644	0.021180	0.5
25	-0.023598	2.035736	2.422699	0.029449	0.6
26	-0.031909	1.061644	2.529669	0.042412	0.5
27	-0.027558	0.087551	2.646522	0.006632	0.5
28	-0.022324	0.475346	2.598732	0.024658	0.5
29	-0.030832	0.516925	2.593710	0.017300	0.5
30	-0.034289	0.000000	2.657555	0.016039	0.5
31	-0.033893	0.000000	2.657555	0.019296	0.5
32	-0.030368	0.000000	2.657555	0.032905	0.5
33	-0.020263	0.000000	2.657555	0.021584	0.5
34	-0.025360	0.000000	2.657555	0.020418	0.5
35	-0.021896	0.000000	2.657555	0.022651	0.5
36	-0.026038	0.999730	2.536789	0.020474	0.5
37	-0.026282	1.999730	2.426492	0.017525	0.5
38	-0.032270	1.025641	2.533804	0.021112	0.5
39	-0.027781	2.025603	2.423766	0.032940	0.5
40	-0.032584	3.025600	2.322883	0.014357	0.5
41	-0.028433	4.025496	2.230072	0.021852	0.5
42	-0.027406	5.024852	2.144437	0.021681	0.5
43	-0.029272	4.058812	2.227107	0.023299	0.5
44	-0.029199	5.058785	2.141645	0.016559	0.5
45	-0.023155	4.084693	2.224809	0.013530	0.5
46	-0.030475	3.116087	2.314167	0.026299	0.6
47	-0.031785	4.116071	2.222030	0.043908	0.5
48	-0.021288	3.141982	2.311685	0.014092	0.6
49	-0.022135	4.141982	2.219740	0.044329	0.5
50	-0.019423	5.141982	2.134829	0.021844	0.5
51	-0.028780	4.167924	2.217452	0.012770	0.5
52	-0.027582	5.167923	2.132713	0.027604	0.6
53	-0.023367	6.167910	2.054213	0.024054	0.5
54	-0.024331	7.167910	1.981285	0.017620	0.5
55	-0.030386	8.167910	1.913358	0.011369	0.5
56	-0.024364	9.161130	1.850351	0.013108	0.5
57	-0.021408	8.227785	1.909439	0.012528	0.5
58	-0.031580	8.784524	1.873747	0.030359	0.5
59	-0.020793	9.784524	1.812880	0.013105	0.5
60	-0.027476	10.784524	1.755844	0.016235	0.5
61	-0.026585	9.812174	1.811254	0.013686	0.5
62	-0.022390	10.812173	1.754318	0.033314	0.5
63	-0.032281	11.759343	1.703595	0.020508	0.5
64	-0.031965	12.759343	1.653132	0.024857	0.5
65	-0.021669	13.759343	1.605573	0.016902	0.5
66	-0.036292	12.785251	1.651865	0.024636	0.5
67	-0.030473	11.813388	1.700789	0.027217	0.5
68	-0.032450	12.813222	1.650498	0.026947	0.5
69	-0.035565	11.839130	1.699456	0.016500	0.4
70	-0.025887	10.865038	1.751407	0.031510	0.5
71	-0.019510	9.890946	1.806635	0.029744	0.5
72	-0.023920	10.890944	1.749985	0.026712	0.5
73	-0.023869	11.890882	1.696782	0.024485	0.5
74	-0.029898	10.916792	1.748567	0.042863	0.5
75	-0.029914	11.916792	1.695447	0.021316	0.5
76	-0.030101	10.942700	1.747149	0.016437	0.5
77	-0.025084	11.907790	1.695910	0.023190	0.5
78	-0.026644	10.933698	1.747642	0.030533	0.5
79	-0.029859	9.959606	1.802628	0.014867	0.5
80	-0.023994	8.985514	1.861187	0.006401	0.5
81	-0.035599	9.810216	1.811369	0.027481	0.5
82	-0.027808	8.836500	1.870483	0.032915	0.6
83	-0.033228	9.836417	1.809830	0.010707	0.5
84	-0.019450	10.811452	1.754358	0.024741	0.5
85	-0.033525	11.810238	1.700953	0.015929	0.5
86	-0.028514	11.698951	1.706742	0.031273	0.5
87	-0.028154	12.698935	1.656096	0.018428	0.5
88	-0.028559	11.725057	1.705380	0.020901	0.5
89	-0.029440	10.995091	1.744288	0.034413	0.5
90	-0.031700	11.995091	1.691423	0.017246	0.5
91	-0.028708	11.020999	1.742877	0.020424	0.5
92	-0.025258	10.046939	1.797558	0.023961	0.5
93	-0.026010	11.046682	1.741480	0.021834	0.5
94	-0.031035	10.080491	1.795617	0.019040	0.5
95	-0.022049	9.106471	1.853710	0.018947	0.6
96	-0.028338	8.132675	1.915672	0.019933	0.5
97	-0.027799	9.132675	1.852098	0.036659	0.5
98	-0.031026	10.115851	1.793577	0.021358	0.5
99	-0.026514	9.141759	1.851540	0.011071	0.5
100	-0.020696	8.248884	1.908061	0.030263	0.5
101	-0.032473	9.248883	1.844983	0.016466	0.6
102	-0.021641	10.248882	1.785941	0.016288	0.5
103	-0.025293	9.274941	1.843395	0.028189	0.5
104	-0.027570	10.274941	1.784453	0.023233	0.6
105	-0.023368	9.300849	1.841818	0.046386	0.5
106	-0.034503	8.326756	1.902995	0.047496	0.5
107	-0.028681	7.352664	1.968375	0.011090	0.5
108	-0.031777	6.378572	2.038407	0.013065	0.5
109	-0.024807	7.342972	1.969048	0.029758	0.5
110	-0.026438	6.368881	2.039128	0.021707	0.5
111	-0.027292	5.394788	2.114382	0.011976	0.5
112	-0.025385	4.763547	2.166187	0.027604	0.5
113	-0.023574	5.763547	2.085249	0.018396	0.5
114	-0.026751	4.789455	2.164011	0.019800	0.5
115	-0.030904	4.219875	2.212884	0.029316	0.5
116	-0.034071	5.219875	2.128487	0.033415	0.6
117	-0.025860	4.245815	2.210610	0.018842	0.5
118	-0.034105	3.271730	2.299328	0.020171	0.6
119	-0.030030	2.297668	2.395461	0.054599	0.6
120	-0.024519	1.323577	2.499988	0.024621	0.5
121	-0.033728	2.323577	2.392800	0.042454	0.5
122	-0.019981	1.349484	2.497089	0.025490	0.5
123	-0.024850	2.349484	2.390145	0.014507	0.5
124	-0.024212	1.375392	2.494198	0.020321	0.5
125	-0.023182	2.375392	2.387496	0.023567	0.5
126	-0.027568	1.401303	2.491313	0.015978	0.5
127	-0.031374	0.673560	2.574965	0.023940	0.5
128	-0.028813	1.498430	2.480558	0.026527	0.5
129	-0.027826	0.524338	2.592817	0.013161	0.5
130	-0.029914	0.000000	2.657555	0.030856	0.5
131	-0.025586	0.000000	2.657555	0.015824	0.5
132	-0.032664	0.000000	2.657555	0.033661	0.5
133	-0.021962	0.000000	2.657555	0.012608	0.5
134	-0.020280	0.000000	2.657555	0.015879	0.5
135	-0.021118	0.000000	2.657555	0.029114	0.5
136	-0.030747	0.000000	2.657555	0.008497	0.5
137	-0.041472	0.000000	2.657555	0.025231	0.5
138	-0.031346	0.148879	2.638847	0.023936	0.4
139	-0.025680	0.000000	2.657555	0.018798	0.5
140	-0.033920	0.999998	2.536758	0.051269	0.5
141	-0.030041	0.025906	2.654281	0.033245	0.6
142	-0.025256	1.025906	2.533774	0.022693	0.7
143	-0.030657	2.025906	2.423734	0.018784	0.7
144	-0.024375	1.051822	2.530796	0.030020	0.7
145	-0.026859	2.044937	2.421732	0.023022	0.6
146	-0.033510	1.070845	2.528615	0.022949	0.6
147	-0.021134	0.491959	2.596723	0.008514	0.6
148	-0.030484	1.491946	2.481273	0.011952	0.5
149	-0.025978	0.520492	2.593280	0.009210	0.5
150	-0.022230	0.536505	2.591352	0.020619	0.5
151	-0.031426	0.000000	2.657555	0.034362	0.5
152	-0.035447	0.000000	2.657555	0.022010	0.6
153	-0.021886	1.000000	2.536757	0.032206	0.6
154	-0.024826	1.999981	2.426466	0.011942	0.7
155	-0.030702	1.025899	2.533775	0.019135	0.5
156	-0.026637	0.059359	2.650065	0.027106	0.5
157	-0.026927	0.000000	2.657555	0.023960	0.5
158	-0.026079	0.000000	2.657555	0.014524	0.5
159	-0.031070	1.000000	2.536757	0.035347	0.5
160	-0.030229	0.025908	2.654281	0.021973	0.5
161	-0.027013	1.025908	2.533774	0.015976	0.5
162	-0.031808	0.051884	2.651006	0.039195	0.6
163	-0.027450	0.000000	2.657555	0.020654	0.5
164	-0.028362	1.000000	2.536757	0.045126	0.5
165	-0.027669	1.999787	2.426486	0.027950	0.5
166	-0.024173	1.025695	2.533798	0.020282	0.5
167	-0.027251	2.025695	2.423756	0.033558	0.5
168	-0.029282	3.025695	2.322874	0.024999	0.5
169	-0.029836	4.025695	2.230054	0.024490	0.5
170	-0.030314	5.025695	2.144368	0.009915	0.5
171	-0.036149	5.976580	2.068782	0.024854	0.5
172	-0.021242	5.015290	2.145225	0.010320	0.5
173	-0.025845	4.041892	2.228612	0.009133	0.5
174	-0.034208	3.315058	2.295231	0.032449	0.5
175	-0.034938	4.312880	2.204754	0.015035	0.5
176	-0.020705	3.338787	2.292993	0.019531	0.5
177	-0.031499	2.365053	2.388553	0.020426	0.5
178	-0.027811	1.423348	2.488864	0.030089	0.5
179	-0.030524	0.449256	2.601893	0.021384	0.5
180	-0.025926	0.000000	2.657555	0.019738	0.5
181	-0.025331	0.000000	2.657555	0.023384	0.5
182	-0.020232	1.000000	2.536757	0.017106	0.5
183	-0.025017	1.990734	2.427441	0.026109	0.5
184	-0.027965	2.864048	2.338608	0.030509	0.6
185	-0.027760	1.891555	2.437959	0.020860	0.5
186	-0.025535	1.084161	2.527090	0.021995	0.6
187	-0.026187	2.079590	2.418096	0.012078	0.6
188	-0.030165	1.105845	2.524611	0.025413	0.6
189	-0.024227	0.779562	2.562433	0.042716	0.7
190	-0.031152	1.779562	2.449944	0.037709	0.5
191	-0.039385	0.805474	2.559388	0.023209	0.6
192	-0.026570	0.000000	2.657555	0.034136	1.1
193	-0.022852	1.000000	2.536757	0.013486	0.5
194	-0.025347	1.986749	2.427862	0.017853	0.5
195	-0.028886	1.073001	2.528368	0.017682	0.5
196	-0.022203	0.100713	2.644871	0.023593	0.5
197	-0.024084	0.000000	2.657555	0.027451	0.5
198	-0.031579	0.999999	2.536757	0.022264	0.6
199	-0.025808	0.025907	2.654281	0.012186	0.5
200	-0.022158	0.000000	2.657555	0.025615	0.5
201	-0.022831	0.993346	2.537525	0.009370	0.5
202	-0.027047	0.401777	2.607665	0.017432	0.6
203	-0.030014	0.012571	2.655965	0.015538	0.6
204	-0.026838	0.000000	2.657555	0.037911	0.5
205	-0.023834	0.990925	2.537804	0.027400	0.5
206	-0.029714	1.401060	2.491340	0.019353	0.5
207	-0.022350	2.401060	2.384878	0.022769	0.5
208	-0.024323	1.427158	2.488441	0.018283	0.5
209	-0.018931	0.453065	2.601431	0.023450	0.6
210	-0.019136	0.000000	2.657555	0.018331	0.5
211	-0.027872	1.000000	2.536757	0.021252	0.5
212	-0.019003	1.994397	2.427055	0.025877	0.5
213	-0.034141	2.994397	2.325904	0.022757	0.5
214	-0.027186	3.994397	2.232847	0.016685	0.5
215	-0.019416	4.994397	2.146950	0.018444	0.6
216	-0.028680	4.043246	2.228492	0.012156	0.5
217	-0.025264	5.042823	2.142957	0.014574	0.5
218	-0.030394	5.657007	2.093583	0.031320	0.5
219	-0.026856	4.682920	2.172987	0.037771	0.6
220	-0.026574	3.708828	2.258653	0.030614	0.6
221	-0.027485	4.708828	2.170798	0.014032	0.5
222	-0.032162	5.708828	2.089521	0.020536	0.5
223	-0.028489	4.734842	2.168603	0.040657	0.5
224	-0.026022	3.765226	2.253509	0.020458	0.5
225	-0.018925	2.791134	2.345776	0.023058	0.5
226	-0.027345	1.817042	2.445920	0.025487	0.5
227	-0.020875	0.842950	2.554997	0.013016	0.5
228	-0.027612	1.842949	2.443146	0.020586	0.5
229	-0.028680	2.842942	2.340679	0.012887	0.6
230	-0.024686	2.097953	2.416174	0.013342	0.6
231	-0.020594	3.073183	2.318292	0.007034	0.5
232	-0.026165	2.175221	2.408118	0.021527	0.6
233	-0.029459	1.559237	2.473872	0.015478	0.6
234	-0.029939	2.559237	2.368865	0.019023	0.5
235	-0.021535	1.622999	2.466899	0.014419	0.6
236	-0.025625	0.935557	2.544210	0.016370	0.6
237	-0.030803	0.014473	2.655725	0.012869	0.6
238	-0.031500	0.143548	2.639513	0.048727	0.6
239	-0.027965	1.143548	2.520313	0.021867	0.6
240	-0.033620	1.369194	2.494889	0.031376	0.5
241	-0.027821	2.369194	2.388130	0.023074	0.5
242	-0.023886	1.592372	2.470244	0.011941	0.5
243	-0.032050	0.618290	2.581548	0.043792	0.6
244	-0.019826	0.000000	2.657555	0.004853	0.7
245	-0.023786	0.845855	2.554657	0.026542	0.5
246	-0.030971	0.291459	2.621176	0.024025	0.5
247	-0.030230	1.289309	2.503831	0.020083	0.5
248	-0.031518	2.289309	2.396321	0.010928	0.6
249	-0.022125	1.321940	2.500171	0.014068	0.5
